player,player_id,team,season,lg,replaced,full_team_name
Amar'e Stoudemire,stoudam01,East,2011,NBA,FALSE,Miami Heat
Dwyane Wade,wadedw01,East,2011,NBA,FALSE,Miami Heat
Carmelo Anthony,anthoca01,West,2011,NBA,FALSE,Los Angeles Lakers
Kobe Bryant,bryanko01,West,2011,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2011,NBA,FALSE,San Antonio Spurs
Kevin Durant,duranke01,West,2011,NBA,FALSE,Houston Rockets
Pau Gasol,gasolpa01,West,2011,NBA,FALSE,
Manu Ginóbili,ginobma01,West,2011,NBA,FALSE,San Antonio Spurs
Blake Griffin,griffbl01,West,2011,NBA,FALSE,Boston Celtics
Kevin Love,loveke01,West,2011,NBA,TRUE,Utah Jazz
Yao Ming,mingya01,West,2011,NBA,TRUE,Houston Rockets
Dirk Nowitzki,nowitdi01,West,2011,NBA,FALSE,Dallas Mavericks
Chris Paul,paulch01,West,2011,NBA,FALSE,Los Angeles Clippers
Russell Westbrook,westbru01,West,2011,NBA,FALSE,Sacramento Kings
Deron Williams,willide01,West,2011,NBA,FALSE,
Chris Bosh,boshch01,East,2010,NBA,FALSE,Miami Heat
Kevin Garnett,garneke01,East,2010,NBA,FALSE,Minnesota Timberwolves
Al Horford,horfoal01,East,2010,NBA,FALSE,Golden State Warriors
Dwight Howard,howardw01,East,2010,NBA,FALSE,Los Angeles Lakers
Allen Iverson,iversal01,East,2010,NBA,TRUE,
LeBron James,jamesle01,East,2010,NBA,FALSE,Los Angeles Lakers
Joe Johnson,johnsjo02,East,2010,NBA,FALSE,Boston Celtics
David Lee,leeda02,East,2010,NBA,TRUE,San Antonio Spurs
Paul Pierce,piercpa01,East,2010,NBA,FALSE,Los Angeles Clippers
Rajon Rondo,rondora01,East,2010,NBA,FALSE,
Derrick Rose,rosede01,East,2010,NBA,FALSE,Memphis Grizzlies
Dwyane Wade,wadedw01,East,2010,NBA,FALSE,Miami Heat
Gerald Wallace,wallage01,East,2010,NBA,FALSE,Boston Celtics
Carmelo Anthony,anthoca01,West,2010,NBA,FALSE,Los Angeles Lakers
